a 一 一个 每
aback 向后
abacus 算盘
abandon 放弃 放纵
abandoner 放弃者
abandonment 放弃
abasable 可降低
abase 降低
abasement 降低
abash 困惑
abate 消除 减小
abatement 消除
abatis 鹿柴
abbess 女修道院长
abbey 修道院
abbreviate 简化
abbreviated 简化 简要
abbreviation 缩写 简化
abc 入门
abdicate 放弃
abdication 放弃
abdomen 腹部
abdominal 腹腔
abduct 诱拐
abduction 诱拐
abductor 诱拐者
abe 亚伯
aberdeen 阿伯丁
aberrance 离轨
aberrant 异常
aberration 失常
abet 教唆
abetment 教唆
abetter 煽动者
abeyance 暂缓
abhor 厌恶 憎恨
abhorrence 憎恶
abhorrent 可恶
abhorrer 反对者
abidance 持续
abide 容忍
abiding 持久
abiding 容忍
abies 冷杉
abietic 松香
abietyl 松香
ability 能力
ability 才干
abiogenesis 自然发生
abiogeny 偶发性
abiotic 非生物
abject 悲惨
abjuration 放弃
abjure 放弃
ablate 融化
ablation 切除
ablation 消融
ablative 消融
ablator 烧蚀体
ablaze 燃烧
able 能够
abluent 洗涤
abluent 洗涤剂
ablution 清洗
ably 干练地
abnegate 放弃
abnegation 放弃
abnormal 反常
abnormalism 变态性
abnormality 变态
abnormity 异常
aboard 上船
abolish 废除
abolition 废除
abominable 可憎
abominate 憎恨
abomination 厌恶
aboriginal 土著居民
aboriginal 原来
aborning 产生中
abort 异常中断
abortion 流产
abortive 夭折
abosis 死亡
abound 是很多的
about 就
about 在
about 大约
about 关于
aboutface 大转变
aboutface 向后转
above 在
above 前面
above 在上面
above 上述的
aboveboard 光明正大
abradability 磨损性
abradant 研磨用
abradant 磨料
abrade 磨损
abrader 研磨机
abradibility 可研磨性
abrasion 磨损
abrasive 磨料
abrasive 研磨用
abrasiveness 磨损性
abreast 并列
abridge 删节
abridgement 节本
abrim 满满地
abroad 在国外
abrogate 废除
abrogation 取消
abrupt 突然
abruptly 突然
abscess 脓肿
abscess 砂眼
abscind 切断
abscissa 横坐标
abscission 切除
abscission 脱离
abscond 潜逃
absence 缺乏
absence 没有
absence 缺席
absence 不在的情况下
absent 缺席
absently 漫不经心地
absolute 绝对
absolutely 绝对地
absoluteness 绝对性
absolution 赦免
absolve 宣布免除
absonant 不谐和
absorb 吸收
absorbable 可吸收
absorbance 吸收率
absorbedly 专心致志地
absorbency 吸收能力
absorbent 吸收剂
absorbent 有吸收能力
absorber 吸收体
absorpt 被吸入
absorptance 吸收系数
absorption 吸收
absorptive 有吸收力
absorptivity 吸收性
abstain 禁绝
